ChannelName,ProductId,DateSold,SPV
AutoPedigree,7,2018-03-31 07:41:15.000,1300.3600
AutoPedigree,7,2018-03-31 08:12:27.000,795.7900
AutoPedigree,17,2018-03-31 08:21:56.000,0.0000
AutoPedigree,17,2018-03-31 08:21:56.000,0.0000
AutoPedigree,7,2018-03-31 08:37:20.000,1194.2400
AutoPedigree,15,2018-03-31 08:45:33.000,794.9908
AutoPedigree,7,2018-03-31 08:51:24.000,935.3700
AutoPedigree,7,2018-03-31 09:12:01.000,2331.7700
AutoPedigree,7,2018-03-31 09:14:59.000,920.0100
AutoPedigree,7,2018-03-31 09:36:35.000,1157.5600
AutoPedigree,7,2018-03-31 09:37:55.000,979.6300
AutoPedigree,7,2018-03-31 09:55:33.000,878.9700
AutoPedigree,7,2018-03-31 10:02:10.000,1070.9500
AutoPedigree,7,2018-03-31 10:03:40.000,1031.4200
AutoPedigree,7,2018-03-31 10:12:44.000,1229.2800
AutoPedigree,7,2018-03-31 10:12:44.000,1229.3300
AutoPedigree,15,2018-03-31 10:27:51.000,1452.6092
AutoPedigree,7,2018-03-31 10:30:56.000,572.4700
AutoPedigree,7,2018-03-31 10:30:56.000,608.3000
AutoPedigree,7,2018-03-31 10:30:56.000,572.4700
AutoPedigree,7,2018-03-31 10:30:56.000,608.3000
AutoPedigree,7,2018-03-31 10:47:24.000,755.1300
AutoPedigree,7,2018-03-31 10:50:55.000,1297.7300
One Call Insurance Brokers,95,2018-04-03 06:24:57.000,149.0000
One Call Insurance Brokers,90,2018-04-03 06:28:38.000,149.0000
One Call Insurance Brokers,96,2018-04-03 06:29:37.000,99.0000
One Call Insurance Brokers,90,2018-04-03 06:30:40.000,129.0000
AutoPedigree,7,2018-04-03 06:47:15.000,949.6900
AutoPedigree,7,2018-04-03 07:03:13.000,1080.1800
AutoPedigree,7,2018-04-03 08:24:43.000,977.9300
AutoPedigree,7,2018-04-03 09:20:34.000,865.7400
AutoPedigree,16,2018-04-03 09:34:57.000,918.1013
AutoPedigree,7,2018-04-03 09:57:45.000,763.2000
AutoPedigree,7,2018-04-03 10:00:10.000,1219.8900
AutoPedigree,16,2018-04-03 10:31:19.000,551.8969
AutoPedigree,17,2018-04-03 11:26:29.000,421.2610
Surestrat (Pty) Ltd,90,2018-04-03 11:30:46.000,89.0000
Surestrat (Pty) Ltd,90,2018-04-03 11:30:46.000,119.0000
Surestrat (Pty) Ltd,90,2018-04-03 11:30:46.000,139.0000
AutoPedigree,7,2018-04-03 12:06:25.000,762.8700
Compare and Insure Consulting (PTY) LTD,37,2018-04-03 12:10:19.000,593.7000
Surestrat (Pty) Ltd,76,2018-04-03 12:40:13.000,40.0000
Surestrat (Pty) Ltd,76,2018-04-03 12:40:13.000,321.1100
AutoPedigree,7,2018-04-03 13:04:28.000,982.2400
AutoPedigree,7,2018-04-03 13:09:32.000,670.2200
AutoPedigree,7,2018-04-03 13:34:02.000,1656.8800
AutoPedigree,7,2018-04-03 14:11:44.000,1817.1100
AutoPedigree,16,2018-04-03 14:58:36.000,540.0943
Surestrat (Pty) Ltd,80,2018-04-03 15:07:08.000,40.0000
Surestrat (Pty) Ltd,80,2018-04-03 15:07:08.000,339.0000
Finlife SA,98,2018-04-03 15:16:19.000,99.0000
AutoPedigree,16,2018-04-04 07:56:14.000,754.8820
AutoPedigree,18,2018-04-04 08:42:18.000,573.5855
Constellation Financial Services (Pty) Ltd,9,2018-04-04 09:02:31.000,746.9900
Finlife SA,76,2018-04-04 09:08:37.000,88.0100
Finlife SA,76,2018-04-04 09:08:37.000,348.7600
AutoPedigree,7,2018-04-04 10:05:04.000,1328.2900
AutoPedigree,18,2018-04-04 10:18:40.000,565.5154
Savvy Brokers (Pty) Ltd,36,2018-04-04 10:45:52.000,595.2200
Savvy Brokers (Pty) Ltd,36,2018-04-04 10:45:52.000,703.0917
Savvy Brokers (Pty) Ltd,36,2018-04-04 10:45:52.000,703.0917
Savvy Brokers (Pty) Ltd,36,2018-04-04 10:45:52.000,935.3800
AutoPedigree,16,2018-04-04 11:08:30.000,687.1430
Compare and Insure Consulting (PTY) LTD,37,2018-04-04 11:23:48.000,669.5200
Uhuru,6,2018-04-04 11:54:02.000,957.4300
Surestrat (Pty) Ltd,10,2018-04-04 12:23:26.000,1664.9200
Uhuru,18,2018-04-04 12:51:05.000,812.9219
AutoPedigree,7,2018-04-04 12:57:06.000,1327.3000
AutoPedigree,15,2018-04-04 13:07:44.000,865.6351
Finlife SA,76,2018-04-04 13:20:43.000,93.2600
Finlife SA,76,2018-04-04 13:20:43.000,362.3700
AutoPedigree,15,2018-04-04 13:21:47.000,741.7781
AutoPedigree,7,2018-04-04 13:42:05.000,520.5800
Intersure Financial Services (Pty) Ltd,76,2018-04-04 13:42:59.000,30.0000
Intersure Financial Services (Pty) Ltd,76,2018-04-04 13:42:59.000,45.0000
Intersure Financial Services (Pty) Ltd,76,2018-04-04 13:42:59.000,49.0000
Intersure Financial Services (Pty) Ltd,76,2018-04-04 13:42:59.000,107.3400
Intersure Financial Services (Pty) Ltd,76,2018-04-04 13:42:59.000,248.7600
Intersure Financial Services (Pty) Ltd,76,2018-04-04 13:42:59.000,265.7200
