ChannelName,ProductId,DateSold,SPV
AutoPedigree,15,2017-09-01 06:05:24.000,1264.9600
Uhuru,6,2017-09-01 08:03:44.000,3081.7200
BOWER,63,2017-09-01 09:05:22.000,844.0408
BOWER,63,2017-09-01 09:05:22.000,1428.8547
BOWER,18,2017-09-01 09:58:42.000,695.2500
Uhuru,58,2017-09-01 10:19:48.000,1126.8100
BOWER,16,2017-09-01 12:59:59.000,1292.4100
BOWER,58,2017-09-01 14:03:20.000,1064.9100
BOWER,58,2017-09-04 08:33:34.000,552.0000
BOWER,17,2017-09-04 08:42:19.000,372.0500
BOWER,18,2017-09-04 08:56:49.000,690.0700
AutoPedigree,7,2017-09-04 09:31:29.000,2154.6200
BOWER,58,2017-09-04 10:14:39.000,1808.0200
BOWER,18,2017-09-04 10:42:21.000,551.5600
AutoPedigree,7,2017-09-04 11:15:16.000,1320.5900
AutoPedigree,7,2017-09-04 13:48:54.000,1298.2000
AutoPedigree,15,2017-09-04 14:49:56.000,1554.6800
BOWER,18,2017-09-04 15:04:26.000,947.3900
AutoPedigree,17,2017-09-05 07:18:10.000,664.6800
BOWER,18,2017-09-05 09:21:28.000,1452.3300
BOWER,58,2017-09-05 10:59:58.000,446.9500
BOWER,58,2017-09-05 10:59:58.000,932.6200
BOWER,58,2017-09-05 10:59:58.000,1198.0000
BOWER,58,2017-09-05 10:59:58.000,1442.2400
AutoPedigree,17,2017-09-06 07:27:00.000,616.7500
AutoPedigree,17,2017-09-06 07:27:28.000,576.0000
BOWER,18,2017-09-06 07:48:58.000,736.4200
AutoPedigree,18,2017-09-06 08:22:46.000,631.7500
BOWER,18,2017-09-06 09:15:02.000,966.9600
AutoPedigree,15,2017-09-06 09:35:46.000,593.3100
BOWER,18,2017-09-06 10:45:17.000,1091.9000
AutoPedigree,15,2017-09-06 14:20:04.000,701.0900
BOWER,17,2017-09-07 07:05:15.000,1046.4700
BOWER,58,2017-09-07 07:30:20.000,738.8300
AutoPedigree,7,2017-09-07 08:34:51.000,515.8400
AutoPedigree,7,2017-09-07 08:35:47.000,876.8800
AutoPedigree,58,2017-09-07 08:36:54.000,1125.3600
AutoPedigree,15,2017-09-07 08:37:44.000,980.6700
AutoPedigree,7,2017-09-07 08:42:34.000,598.1200
AutoPedigree,15,2017-09-07 08:43:43.000,1262.3400
AutoPedigree,15,2017-09-07 09:00:24.000,646.2800
AutoPedigree,7,2017-09-07 09:01:37.000,1340.0100
AutoPedigree,18,2017-09-07 09:02:51.000,632.5700
AutoPedigree,7,2017-09-07 09:03:22.000,964.9600
BOWER,18,2017-09-07 09:43:34.000,1155.7200
AutoPedigree,18,2017-09-07 09:58:12.000,448.0000
BOWER,18,2017-09-07 10:08:56.000,497.2500
BOWER,58,2017-09-07 11:11:43.000,161.5700
BOWER,58,2017-09-07 11:11:43.000,270.9900
BOWER,58,2017-09-07 11:11:43.000,482.7900
AutoPedigree,7,2017-09-07 11:43:48.000,1379.8800
AutoPedigree,7,2017-09-07 13:34:23.000,464.0600
AutoPedigree,15,2017-09-07 13:36:30.000,727.6400
AutoPedigree,7,2017-09-07 14:19:33.000,1476.2300
AutoPedigree,7,2017-09-08 06:45:35.000,653.0300
BOWER,18,2017-09-08 06:51:25.000,395.4700
AutoPedigree,9,2017-09-08 08:21:47.000,1679.2300
AutoPedigree,7,2017-09-08 09:23:05.000,843.1700
BOWER,17,2017-09-08 09:45:45.000,1134.0000
BOWER,18,2017-09-08 10:13:24.000,1197.9900
BOWER,6,2017-09-08 11:12:44.000,687.2400
AutoPedigree,15,2017-09-08 13:01:11.000,931.7200
BOWER,58,2017-09-08 13:23:16.000,670.2900
AutoPedigree,18,2017-09-08 13:41:41.000,453.5000
AutoPedigree,7,2017-09-08 14:29:27.000,880.6100
AutoPedigree,7,2017-09-08 16:11:47.000,995.8900
AutoPedigree,7,2017-09-11 06:51:41.000,1181.3000
BOWER,18,2017-09-11 08:18:50.000,84.1736
BOWER,18,2017-09-11 08:18:50.000,99.3726
BOWER,18,2017-09-11 08:18:50.000,266.1138
BOWER,18,2017-09-11 08:18:50.000,278.7200
BOWER,18,2017-09-11 08:18:50.000,379.2200
BOWER,18,2017-09-11 08:31:43.000,799.6300
BOWER,58,2017-09-11 08:51:35.000,740.2800
AutoPedigree,7,2017-09-11 09:35:42.000,1384.5800
Uhuru,6,2017-09-11 10:32:18.000,1717.5100
AutoPedigree,17,2017-09-11 11:21:47.000,522.2400
BOWER,37,2017-09-11 12:48:21.000,573.3600
AutoPedigree,18,2017-09-11 13:39:05.000,599.2500
AutoPedigree,15,2017-09-11 14:23:04.000,769.9100
AutoPedigree,7,2017-09-11 14:40:43.000,1506.2300
AutoPedigree,7,2017-09-11 14:55:44.000,1294.1400
BOWER,18,2017-09-11 14:58:44.000,869.9300
BOWER,18,2017-09-12 08:18:44.000,576.5500
AutoPedigree,7,2017-09-12 08:23:21.000,1435.3900
AutoPedigree,18,2017-09-12 09:11:07.000,431.2500
BOWER,17,2017-09-12 09:12:58.000,475.7600
AutoPedigree,7,2017-09-12 09:41:23.000,942.8600
AutoPedigree,7,2017-09-12 10:24:06.000,1211.6700
BOWER,18,2017-09-12 11:35:50.000,0.0000
AutoPedigree,58,2017-09-12 12:31:42.000,579.0700
AutoPedigree,15,2017-09-12 13:00:01.000,737.7800
AutoPedigree,7,2017-09-12 13:20:43.000,3201.6900
BOWER,10,2017-09-12 13:46:29.000,398.8800
BOWER,18,2017-09-12 14:09:53.000,1544.7600
AutoPedigree,7,2017-09-12 14:22:43.000,1747.8500
AutoPedigree,7,2017-09-12 14:54:23.000,1101.2300
AutoPedigree,17,2017-09-12 14:57:54.000,561.1600
AutoPedigree,7,2017-09-12 15:00:38.000,984.1400
AutoPedigree,15,2017-09-12 15:34:28.000,1111.1600
AutoPedigree,7,2017-09-13 06:29:52.000,1276.9900
AutoPedigree,17,2017-09-13 06:30:38.000,477.5000
AutoPedigree,7,2017-09-13 07:24:01.000,887.4300
BOWER,18,2017-09-13 08:14:13.000,888.8900
AutoPedigree,7,2017-09-13 08:19:17.000,1731.9100
BOWER,18,2017-09-13 08:37:49.000,1197.7000
AutoPedigree,15,2017-09-13 09:31:07.000,680.2300
AutoPedigree,18,2017-09-13 10:29:43.000,670.3200
Iemas,6,2017-09-13 10:43:19.000,2298.4000
Iemas,6,2017-09-13 10:43:19.000,2561.7800
AutoPedigree,15,2017-09-13 12:06:25.000,945.7600
AutoPedigree,7,2017-09-13 12:56:39.000,1424.3000
AutoPedigree,15,2017-09-13 13:21:54.000,1585.1000
AutoPedigree,18,2017-09-13 13:22:26.000,488.9800
AutoPedigree,7,2017-09-13 13:26:06.000,870.7500
AutoPedigree,7,2017-09-13 13:36:34.000,1297.2900
AutoPedigree,7,2017-09-13 14:18:36.000,1456.9000
AutoPedigree,7,2017-09-13 14:32:04.000,1480.2400
AutoPedigree,15,2017-09-13 14:56:04.000,1303.3300
AutoPedigree,18,2017-09-13 14:57:28.000,631.7500
AutoPedigree,7,2017-09-14 06:39:43.000,1300.4700
AutoPedigree,18,2017-09-14 07:09:49.000,449.0000
AutoPedigree,6,2017-09-14 09:05:56.000,878.1600
AutoPedigree,15,2017-09-14 09:43:40.000,613.0300
AutoPedigree,15,2017-09-14 10:01:32.000,641.9400
AutoPedigree,17,2017-09-14 10:35:08.000,474.5200
AutoPedigree,15,2017-09-14 12:13:37.000,556.5300
AutoPedigree,15,2017-09-14 12:53:07.000,975.4200
AutoPedigree,17,2017-09-14 13:03:48.000,523.0000
AutoPedigree,15,2017-09-14 13:15:26.000,665.0000
BOWER,18,2017-09-15 07:20:37.000,862.7800
BOWER,18,2017-09-15 07:50:45.000,694.8000
AutoPedigree,7,2017-09-15 08:36:06.000,1491.6100
AutoPedigree,15,2017-09-15 08:43:06.000,1207.2100
AutoPedigree,7,2017-09-15 09:20:11.000,899.1300
AutoPedigree,18,2017-09-15 10:00:24.000,441.7500
AutoPedigree,7,2017-09-15 10:10:13.000,2726.5200
AutoPedigree,18,2017-09-15 10:29:02.000,449.0000
AutoPedigree,15,2017-09-15 10:41:25.000,649.8200
BOWER,18,2017-09-15 11:00:57.000,1597.4000
BOWER,18,2017-09-15 11:36:18.000,1141.6600
AutoPedigree,7,2017-09-15 14:35:49.000,1319.2900
AutoPedigree,18,2017-09-15 15:38:03.000,596.7500
BOWER,18,2017-09-18 09:11:12.000,903.3800
BOWER,58,2017-09-18 10:53:24.000,267.6500
BOWER,58,2017-09-18 10:53:24.000,277.2700
BOWER,58,2017-09-18 10:53:24.000,1038.6200
BOWER,58,2017-09-18 10:53:24.000,1323.9000
BOWER,18,2017-09-18 11:32:18.000,1202.0900
AutoPedigree,18,2017-09-18 12:47:30.000,617.7500
AutoPedigree,7,2017-09-18 13:08:16.000,647.3700
AutoPedigree,7,2017-09-18 13:59:11.000,582.6300
AutoPedigree,15,2017-09-18 14:50:46.000,710.3600
BOWER,18,2017-09-19 09:43:36.000,185.0300
BOWER,18,2017-09-19 09:43:36.000,403.7500
AutoPedigree,15,2017-09-19 10:48:02.000,0.0000
Iemas,15,2017-09-19 11:44:20.000,128.0200
Iemas,15,2017-09-19 11:44:20.000,282.4300
Iemas,15,2017-09-19 11:44:20.000,1501.1600
AutoPedigree,18,2017-09-19 13:21:41.000,449.0000
AutoPedigree,17,2017-09-20 07:28:08.000,498.3500
AutoPedigree,17,2017-09-20 07:28:46.000,548.3700
BOWER,18,2017-09-20 10:49:42.000,524.2700
AutoPedigree,17,2017-09-20 13:01:51.000,0.0000
BOWER,18,2017-09-20 14:13:31.000,995.4200
AutoPedigree,18,2017-09-20 15:21:40.000,398.7500
AutoPedigree,18,2017-09-20 16:03:05.000,534.5000
AutoPedigree,7,2017-09-21 08:43:59.000,1240.8700
AutoPedigree,15,2017-09-21 08:47:48.000,792.2200
AutoPedigree,7,2017-09-21 10:09:16.000,1467.4900
Iemas,58,2017-09-21 12:13:59.000,1227.3700
AutoPedigree,7,2017-09-21 12:33:11.000,2409.6700
AutoPedigree,7,2017-09-21 13:28:34.000,1138.3300
AutoPedigree,7,2017-09-21 14:45:28.000,1600.6600
AutoPedigree,7,2017-09-21 14:52:42.000,1030.1600
